J_over_U,tau,mu0,sign,mu_extra,C_S_burn,D_S,D_S_geo,pct_fi,pct_geo,off_sel_frac,detune_opt_eq_fi,pct_dopt,sp_Fi_drain,S_fi,S_geo
0.12,3,0.1,1,0.1,9.745284981107756e-05,0.03852183862964431,0.03852183862964431,26.666666666666668,26.666666666666668,0.5000000000000011,,,,"(2, 3)","(2, 3)"
0.12,3,0.1,-1,-0.1,9.745284981107756e-05,-0.03642606661576342,-0.03642606661576342,100.0,100.0,0.6614426784246746,,,,"(2, 3)","(2, 3)"
0.12,1,0.5,1,0.5,9.745284981107756e-05,0.028531122539426912,0.028531122539426912,26.666666666666668,26.666666666666668,0.49999999999999706,0.0,100.0,0.5002164033860247,"(2, 3)","(2, 3)"
0.12,2,0.5,1,0.5,9.745284981107756e-05,0.09365233669458356,0.09365233669458356,26.666666666666668,26.666666666666668,0.4999999999999966,0.0,100.0,0.5217939320872036,"(2, 3)","(2, 3)"
0.12,3,0.5,1,0.5,9.745284981107756e-05,0.16488507568247668,0.16488507568247668,20.0,20.0,0.4999999999999999,0.0,100.0,0.5217939320872036,"(2, 3)","(2, 3)"
0.12,1,0.5,-1,-0.5,9.745284981107756e-05,-0.028227996841700742,-0.028227996841700742,100.0,100.0,0.5912272851007397,0.0,100.0,-0.9121593238215745,"(2, 3)","(2, 3)"
0.12,2,0.5,-1,-0.5,9.745284981107756e-05,-0.09321361075660828,-0.09321361075660828,100.0,100.0,0.550829630043343,0.0,100.0,-0.9121593238215745,"(2, 3)","(2, 3)"
0.12,3,0.5,-1,-0.5,9.745284981107756e-05,-0.16553905211491549,-0.16553905211491549,100.0,100.0,0.5312502654045387,0.0,100.0,-0.8857142857142858,"(2, 3)","(2, 3)"
0.12,3,1.0,1,1.0,9.745284981107756e-05,0.2191398162158561,0.2191398162158561,26.666666666666668,26.666666666666668,0.4999999999999991,,,,"(2, 3)","(2, 3)"
0.12,3,1.0,-1,-1.0,9.745284981107756e-05,-0.22419395447365353,-0.22419395447365353,100.0,100.0,0.5303797521604301,,,,"(2, 3)","(2, 3)"
0.2,3,0.1,1,0.1,0.005368664155730814,0.08425056873732872,0.08425056873732872,66.66666666666666,66.66666666666666,0.49999999999999833,,,,"(2, 3)","(2, 3)"
0.2,3,0.1,-1,-0.1,0.005368664155730814,-0.040418838356716225,-0.040418838356716225,100.0,100.0,0.7451283725799523,,,,"(2, 3)","(2, 3)"
0.2,1,0.5,1,0.5,0.005368664155730814,0.0606749368701186,0.0606749368701186,26.666666666666668,26.666666666666668,0.49999999999999883,1.0,26.666666666666668,0.942857142857143,"(2, 3)","(2, 3)"
0.2,2,0.5,1,0.5,0.005368664155730814,0.18213618305673684,0.18213618305673684,26.666666666666668,26.666666666666668,0.49999999999999917,1.0,26.666666666666668,0.9856107606091623,"(2, 3)","(2, 3)"
0.2,3,0.5,1,0.5,0.005368664155730814,0.29326364921469766,0.29326364921469766,26.666666666666668,26.666666666666668,0.5000000000000001,0.0,100.0,0.48571428571428577,"(2, 3)","(2, 3)"
0.2,1,0.5,-1,-0.5,0.005368664155730814,-0.04856993609838012,-0.04856993609838012,100.0,100.0,0.6282551448812017,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.2,2,0.5,-1,-0.5,0.005368664155730814,-0.15893090532509968,-0.15893090532509968,100.0,100.0,0.5640127855757685,0.0,100.0,-0.9121593238215745,"(2, 3)","(2, 3)"
0.2,3,0.5,-1,-0.5,0.005368664155730814,-0.2654451232949716,-0.2654451232949716,100.0,100.0,0.5236837076002907,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.2,3,1.0,1,1.0,0.005368664155730814,0.3944261623661697,0.3944261623661697,26.666666666666668,26.666666666666668,0.4999999999999997,,,,"(2, 3)","(2, 3)"
0.2,3,1.0,-1,-1.0,0.005368664155730814,-0.3961840262765214,-0.3961840262765214,100.0,100.0,0.520455549236062,,,,"(2, 3)","(2, 3)"
0.3,3,0.1,1,0.1,0.02101233795403619,0.13988130067827764,0.13988130067827764,100.0,100.0,0.5000000000000004,,,,"(2, 3)","(2, 3)"
0.3,3,0.1,-1,-0.1,0.02101233795403619,-0.023832510579112287,-0.023832510579112287,100.0,100.0,0.8367641651331389,,,,"(2, 3)","(2, 3)"
0.3,1,0.5,1,0.5,0.02101233795403619,0.10765815007205526,0.10765815007205526,53.333333333333336,53.333333333333336,0.4999999999999997,1.0,53.333333333333336,0.9856107606091623,"(2, 3)","(2, 3)"
0.3,2,0.5,1,0.5,0.02101233795403619,0.28567689924025297,0.28567689924025297,66.66666666666666,66.66666666666666,0.4999999999999996,1.0,66.66666666666666,1.0,"(2, 3)","(2, 3)"
0.3,3,0.5,1,0.5,0.02101233795403619,0.41124646311038304,0.41124646311038304,80.0,80.0,0.49999999999999994,1.0,80.0,0.9856107606091623,"(2, 3)","(2, 3)"
0.3,1,0.5,-1,-0.5,0.02101233795403619,-0.06571534322593653,-0.06571534322593653,100.0,100.0,0.6479420276182842,0.0,100.0,-0.8696565534786727,"(2, 3)","(2, 3)"
0.3,2,0.5,-1,-0.5,0.02101233795403619,-0.2126860211452054,-0.2126860211452054,100.0,100.0,0.5502855719252492,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.3,3,0.5,-1,-0.5,0.02101233795403619,-0.3301366618143631,-0.3301366618143631,100.0,100.0,0.5000000000000002,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.3,3,1.0,1,1.0,0.02101233795403619,0.5502766899812612,0.5502766899812612,66.66666666666666,66.66666666666666,0.4999999999999999,,,,"(2, 3)","(2, 3)"
0.3,3,1.0,-1,-1.0,0.02101233795403619,-0.5354256428525497,-0.5354256428525497,100.0,100.0,0.5000000000000001,,,,"(2, 3)","(2, 3)"
0.4,3,0.1,1,0.1,0.033848403060241464,0.1475379330526867,0.1475379330526867,100.0,100.0,0.5000000000000004,,,,"(2, 3)","(2, 3)"
0.4,3,0.1,-1,-0.1,0.033848403060241464,-0.02909104324472367,-0.02909104324472367,100.0,100.0,0.7906379941533217,,,,"(2, 3)","(2, 3)"
0.4,1,0.5,1,0.5,0.033848403060241464,0.14708111955445957,0.14708111955445957,66.66666666666666,66.66666666666666,0.5000000000000003,1.0,66.66666666666666,1.0,"(2, 3)","(2, 3)"
0.4,2,0.5,1,0.5,0.033848403060241464,0.35037612696917886,0.35037612696917886,80.0,80.0,0.5000000000000001,1.0,80.0,1.0,"(2, 3)","(2, 3)"
0.4,3,0.5,1,0.5,0.033848403060241464,0.44596810058787106,0.44596810058787106,100.0,100.0,0.5000000000000001,1.0,100.0,1.0,"(2, 3)","(2, 3)"
0.4,1,0.5,-1,-0.5,0.033848403060241464,-0.08691686808700683,-0.08691686808700683,100.0,100.0,0.6297695063114072,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.4,2,0.5,-1,-0.5,0.033848403060241464,-0.26226281287801334,-0.26226281287801334,100.0,100.0,0.5052175781546159,0.0,100.0,-0.8285714285714287,"(2, 3)","(2, 3)"
0.4,3,0.5,-1,-0.5,0.033848403060241464,-0.36225016958103284,-0.36225016958103284,100.0,100.0,0.5000000000000004,0.0,100.0,0.5428571428571429,"(2, 3)","(2, 3)"
0.4,3,1.0,1,1.0,0.033848403060241464,0.6198594909658162,0.6198594909658162,100.0,100.0,0.4999999999999999,,,,"(2, 3)","(2, 3)"
0.4,3,1.0,-1,-1.0,0.033848403060241464,-0.5992418651346941,-0.5992418651346941,100.0,100.0,0.5000000000000001,,,,"(2, 3)","(2, 3)"
