L,J_over_U,mu_max,tau,n_real,n_shell_perms,fi_minus_sp_fi_mean,fi_minus_sp_fi_std,fi_minus_sp_geo_mean,fi_minus_sp_geo_std,gen_minus_geo_fi_mean,gen_minus_geo_fi_std,gen_minus_geo_geo_mean,gen_minus_geo_geo_std,fi_minus_geo_fi_mean,fi_minus_geo_geo_mean
6,0.2,0.1,1.0,50,8,-0.00035105754667322074,0.0009000417457858865,-0.0001931073354530363,0.0004120848671883632,-0.0003097913693398779,0.0009380595127462566,4.8683831891389584e-05,0.0006388041510723572,-0.00048067995424682763,-3.350297461742424e-05
6,0.2,0.1,2.0,50,8,-0.0012414267083040542,0.00362672975441612,-0.0006217371027554278,0.0013883660815795788,-0.0029903343677516792,0.0036512468917836863,-0.0016340385085807296,0.002446873034716714,-0.0018803185216677998,-2.5816201247202962e-05
6,0.2,0.1,3.0,50,8,-0.0014045091565767786,0.0053635899014418415,-0.0007817239569483414,0.0021771277138440603,-0.008478785600936069,0.00620361115963788,-0.006824635772682184,0.004955285154027145,-0.0027114280661300182,-0.00026911627883939083
6,0.2,0.2,1.0,50,8,-0.00039150025259379774,0.0008474902059881982,-0.00023301162430914234,0.000579094278026213,-0.00042920118582421283,0.0010171671472930521,-9.555606602476896e-05,0.0007738076982238852,-0.0004364653897395865,2.0338955456535857e-05
6,0.2,0.2,2.0,50,8,-0.001116227445567348,0.0034193700429837963,-0.0007342721595486432,0.002217350241278755,-0.0035792323841704623,0.003975003839708097,-0.0025274227393272696,0.0034009716120330553,-0.0017108199705632022,-0.0002557700692786491
6,0.2,0.2,3.0,50,8,-0.0006250806967051536,0.005197219607043803,-0.0005416464408299185,0.003707253566180443,-0.008421460324743498,0.007525667512176725,-0.007396237811432765,0.006756814879865062,-0.002197223258836242,-0.0007783083953479386
6,0.2,0.3,1.0,50,8,-0.00026950602821958355,0.0006029076029184966,-3.24389465666261e-05,0.000522135743506625,-0.0004502709657674886,0.0009811282195008664,7.759955954225295e-05,0.0006916390605988385,-0.000427811303640222,0.00021824291280455932
6,0.2,0.3,2.0,50,8,-0.0002615301457321745,0.002498068083124935,-1.4227969449709665e-05,0.0018861538599067537,-0.0030640485381656034,0.004257939320763294,-0.0020670461814940844,0.0033298357009413997,-0.0014441949384447516,0.00026933934781666615
6,0.2,0.3,3.0,50,8,0.001181670749285575,0.0044014748572975175,0.0005880066862549189,0.003526568460880861,-0.006803904960633604,0.009636484138077868,-0.006664870558789559,0.0073256624725145806,-0.001235013093647832,-0.00010756008296103459
6,0.3,0.1,1.0,50,8,-0.00013510898133233863,0.0009104108715548469,0.00015901283804528154,0.00037154984518200266,-0.0009803127077091989,0.0005995814279362243,-0.000776212365564014,0.0005464399653615933,-0.0004821951325911478,0.00043733606703211356
6,0.3,0.1,2.0,50,8,0.0006096352952213089,0.0032682953006799307,0.0006331494753774195,0.001393562069431657,-0.010350323333220517,0.004774852670289488,-0.012037335812471867,0.003780575083920891,-0.000745715336978211,0.0014303682144114038
6,0.3,0.1,3.0,50,8,0.0024521604240236956,0.005972886366611959,0.0012406077396881435,0.0026728241599890176,-0.025101820406361205,0.013715350112795142,-0.030469766615448438,0.00956650743071989,0.00029495860752818846,0.0016521803280663949
6,0.3,0.2,1.0,50,8,-0.0008023116860048357,0.0021299008569801957,0.00039066434568431563,0.001207068078276407,-0.0011231720455449523,0.001558013581752105,-0.00014921363436587231,0.0009819922287767052,-0.001697778229536616,0.0009561184000483603
6,0.3,0.2,2.0,50,8,-0.0012825018312245134,0.007194711022377041,0.0011646395318992873,0.004043956400540172,-0.006162233766457062,0.006137824466715438,-0.0058170490376244464,0.004472681986103752,-0.004441512410898977,0.002955548404498385
6,0.3,0.2,3.0,50,8,0.0016269266309905858,0.008840303958857291,0.0021843065820019818,0.006795999801137142,-0.01237605781624135,0.013702091357673205,-0.01607522593796433,0.009915670368897388,-0.0031979137601962217,0.003141709626012826
6,0.3,0.3,1.0,50,8,-0.0009166196356729905,0.0022939656641065053,0.0004611669134494614,0.001373119384319446,-0.0017818562895061851,0.002242849902704638,-0.00014256448651281617,0.0013771646848990372,-0.0018419042483362568,0.0010619393106049834
6,0.3,0.3,2.0,50,8,-0.0009854034632890238,0.008478888255615177,0.0007309618638604302,0.004228677618277726,-0.00886943569940315,0.00840339556791907,-0.0064883157193422044,0.005876086333285491,-0.004377074897801274,0.002245415967553207
6,0.3,0.3,3.0,50,8,0.0035294589352657902,0.012075139707792752,0.001559987313828135,0.00742953478832446,-0.016274276994064505,0.016092607899008453,-0.017620828568725336,0.013243409822695871,-0.0012519596405319677,0.0008017103838094774
6,0.4,0.1,1.0,50,8,-0.00033332763806890627,0.0022142607044119233,0.00021172801167637368,0.0005040350090337948,-0.0025694290637615145,0.0008907953870579903,-0.0025444375331791437,0.0009104193864093803,-0.0008296991240132323,0.000592952114111257
6,0.4,0.1,2.0,50,8,0.00042062913423668747,0.006615651246594265,0.0006100218494388271,0.0015514592410413195,-0.022177205035787254,0.009284505630477046,-0.0253616050071836,0.0064598283697117455,-0.0014011081670892921,0.0014611738261644947
6,0.4,0.1,3.0,50,8,0.002593400038340673,0.0081174334189094,0.0012538997079398493,0.0031613738605115313,-0.045081713551859456,0.019735121968860757,-0.0513396062402188,0.013688604533588927,-5.2890008502992635e-06,0.0016042601576409688
6,0.4,0.2,1.0,50,8,-0.0009834593188915346,0.0035544018656663407,0.0005392842346979024,0.000925272013398757,-0.002208491349616434,0.0027020443712771646,-0.0012688581857440639,0.0017844548868650777,-0.002126708519156566,0.0015178527216299143
6,0.4,0.2,2.0,50,8,0.0003261039874780752,0.010649416823881973,0.001066050972142932,0.002561424602783418,-0.012795235183556275,0.011436737498310064,-0.015491821297466717,0.009484847317611447,-0.00351354071468013,0.0034633807790675685
6,0.4,0.2,3.0,50,8,0.005636407407232419,0.012513197342883376,0.0019904145275219495,0.004923283527233063,-0.02417478688033861,0.020649273178859978,-0.03184514742783806,0.017410906619624005,0.0006904685461851034,0.002896540125831332
6,0.4,0.3,1.0,50,8,-0.0014741737805094401,0.0040263600683926514,0.000340856347526296,0.0011030728965939444,-0.0025817702526861643,0.0035801644591471563,-0.0007853299913297518,0.0021790540607110292,-0.002968921716645225,0.0014210419242966265
6,0.4,0.3,2.0,50,8,-0.0007034136521315637,0.011878595507742656,0.0002075806836959762,0.003681227571767043,-0.011950400772380685,0.013916415404832518,-0.012108471787501235,0.011975536691117434,-0.005445920160464515,0.0023153606329622124
6,0.4,0.3,3.0,50,8,0.006045418965140247,0.01374114931540809,0.0016432150072258006,0.006484352288268309,-0.02076027231108815,0.024962440999478613,-0.02684011196660431,0.019511409092509282,9.667699931303897e-06,0.0008329428568604391
